sample_index,true_cfr_power,rms_scale,absolute_prediction_mse,existing_nmse_db,total_uncertainty,normalized_absolute_prediction_mse,normalized_nmse_db,normalized_total_uncertainty,aleatoric,epistemic,normalized_aleatoric,normalized_epistemic,regime
85,0.9421240091323853,0.9706307053565979,0.07661931216716766,-16.919239044189453,0.020335018634796143,0.08132614940404892,-16.919239044189453,0.021584227681159973,0.018034188076853752,0.002300830092281103,0.01914205402135849,0.002442173194140196,ID-Easy 20 ns
86,0.7696667313575745,0.8773065209388733,0.05465168505907059,-17.508533477783203,0.018803121522068977,0.07100694626569748,-17.50853157043457,0.024430211633443832,0.016764817759394646,0.0020383037626743317,0.02178191766142845,0.002648293972015381,ID-Easy 20 ns
87,1.7028027772903442,1.3049148321151733,0.12486227601766586,-17.368364334106445,0.03350549936294556,0.07332750409841537,-17.368364334106445,0.019676677882671356,0.02919432520866394,0.0043111760169267654,0.017144866287708282,0.0025318118277937174,ID-Easy 20 ns
88,0.4883340001106262,0.6988089680671692,0.0383688323199749,-17.067005157470703,0.018674159422516823,0.0785708874464035,-17.067005157470703,0.038240544497966766,0.016632502898573875,0.002041656756773591,0.034059684723615646,0.004180861171334982,ID-Easy 20 ns
89,1.512894868850708,1.2299978733062744,0.11221477389335632,-17.31838035583496,0.02687850594520569,0.07417222857475281,-17.31838035583496,0.017766274511814117,0.023693827912211418,0.0031846771016716957,0.015661252662539482,0.002105022082105279,ID-Easy 20 ns
90,0.7664355635643005,0.87546306848526,0.06003781035542488,-17.083189010620117,0.023479795083403587,0.07833380997180939,-17.083189010620117,0.030635055154561996,0.020862240344285965,0.0026175554376095533,0.027219822630286217,0.003415232291445136,ID-Easy 20 ns
91,0.85700523853302,0.9257457852363586,0.07038130611181259,-16.877090454101562,0.019258374348282814,0.08212471008300781,-16.877090454101562,0.0224717129021883,0.017131255939602852,0.002127119107171893,0.019989674910902977,0.002482037525624037,ID-Easy 20 ns
92,1.5527875423431396,1.2461090087890625,0.08156093209981918,-18.815996170043945,0.028033580631017685,0.05252548307180405,-18.815996170043945,0.01805371232330799,0.024879341945052147,0.003154237987473607,0.016022372990846634,0.0020313390996307135,ID-Easy 20 ns
93,0.7106031179428101,0.8429728150367737,0.04663650318980217,-17.85016632080078,0.019141269847750664,0.06562945991754532,-17.85016632080078,0.02693665400147438,0.0170737411826849,0.0020675286650657654,0.024027112871408463,0.0029095406644046307,ID-Easy 20 ns
94,1.682995080947876,1.2973029613494873,0.11228620260953903,-17.777677536010742,0.03479217737913132,0.06671808660030365,-17.777677536010742,0.02067277580499649,0.030670244246721268,0.0041219331324100494,0.018223609775304794,0.002449165331199765,ID-Easy 20 ns
